,ID,Language,Subscription_Type,Subscription_Event_Type,Purchase_Store,Purchase_Amount,Currency,USD_Price,Subscription_Start_Date,Subscription_Expiration,Demo_User,Free_Trial_User,Auto_Renew,Country,User_Type,Lead_Platform,Email_Subscriber,Push_Notifications,Send_Count,Open_Count,Click_Count,Unique_Open_Count,Unique_Click_Count
5100,11664,ESP,Limited,INITIAL_PURCHASE,Web,39.07,USD,39.07,2/16/20,5/16/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,8,1,0,1,0
5101,11665,POR,Limited,INITIAL_PURCHASE,Web,0,USD,0,2/15/19,2/15/20,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,4,1,1
5102,11675,ESC,Limited,RENEWAL,Web,20,GBP,25.2,12/13/18,2/13/20,No,No,Off,Other,Consumer,Web,Yes,Yes,87,41,14,23,1
5103,11676,ITA,Limited,RENEWAL,Web,35.97,USD,35.97,6/17/19,6/21/20,No,Yes,On,Europe,Consumer,Web,Yes,Yes,7,7,0,2,0
5104,11677,ENG,Limited,INITIAL_PURCHASE,Web,0,USD,0,4/27/19,10/27/19,No,No,Off,Other,Other,Web,Yes,Yes,98,20,3,18,2
5105,11680,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,2/26/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,32,15,5,8,3
5106,11681,FRA,Limited,RENEWAL,Web,119,USD,119,12/25/18,12/25/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,93,0,0,0,0
5107,11688,GRK,Limited,INITIAL_PURCHASE,Web,65.94,USD,65.94,1/13/20,7/13/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,25,21,18,5,3
5108,11689,RUS,Limited,RENEWAL,Web,16.81,EUR,17.6505,6/16/19,5/16/20,No,No,On,Europe,Consumer,Web,No,Yes,49,49,0,2,0
5109,11692,ESP,Limited,RENEWAL,Web,119,USD,119,2/10/19,8/14/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,3,0,0,0,0
5110,11693,GRK,Limited,INITIAL_PURCHASE,Web,59,EUR,61.95,11/13/19,7/9/20,No,No,On,Europe,Consumer,Web,No,Yes,5,2,0,1,0
5111,11694,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/5/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,139,9,2,5,1
5112,11696,ENG,Limited,RENEWAL,Web,35.97,USD,35.97,10/14/19,7/14/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,4,1,0,1,0
5113,11699,ALL,Limited,RENEWAL,Web,179,USD,179,4/12/19,4/12/21,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,4,2,1,2,1
5114,11701,ALL,Lifetime,INITIAL_PURCHASE,Web,211.94,USD,211.94,3/19/20,1/1/99,No,No,Off,Other,Other,Unknown,No,No,6,3,0,2,0
5115,11706,POL,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,2/29/20,6/22/20,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,37,6,1,4,1
5116,11707,ITA,Limited,INITIAL_PURCHASE,Web,0,USD,0,12/4/18,12/4/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0
5117,11708,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,3/6/19,6/6/19,No,No,On,US/Canada,Consumer,Web,Yes,Yes,45,0,0,0,0
5118,11713,JPN,Limited,RENEWAL,App,69.99,USD,69.99,4/15/19,10/15/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0
5119,11715,FRA,Limited,INITIAL_PURCHASE,Web,49.5,EUR,51.975,2/18/20,6/12/20,No,Yes,Off,Europe,Consumer,Web,No,Yes,11,11,5,4,2
5120,11718,ESP,Limited,INITIAL_PURCHASE,Web,38.85,USD,38.85,10/7/19,2/16/20,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,8,0,0,0,0
5121,11719,DEU,Lifetime,INITIAL_PURCHASE,Web,173,USD,173,12/1/19,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,3,0,0,0,0
5122,11720,DEU,Limited,INITIAL_PURCHASE,App,44.99,USD,44.99,3/25/20,6/25/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,10,0,0,0,0
5123,11721,KOR,Limited,INITIAL_PURCHASE,App,44.99,USD,44.99,3/19/20,6/19/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,7,0,0,0,0
5124,11722,ESP,Limited,RENEWAL,App,49.99,USD,49.99,12/9/19,6/13/20,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
5125,11724,ESP,Lifetime,INITIAL_PURCHASE,Web,49,USD,49,8/25/19,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,5,5,0,2,0
5126,11726,FRA,Limited,INITIAL_PURCHASE,Web,38.22,USD,38.22,3/19/20,6/22/20,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,445,443,425,7,1
5127,11728,EBR,Limited,INITIAL_PURCHASE,Web,94.5,EUR,99.225,9/22/19,3/22/20,No,No,Off,Europe,Consumer,Web,Yes,Yes,41,6,5,3,2
5128,11731,EBR,Limited,INITIAL_PURCHASE,Web,29.4,EUR,30.87,11/9/19,2/9/20,Yes,No,Off,Europe,Consumer,Web,No,Yes,18,13,1,7,1
5129,11732,ALL,Lifetime,INITIAL_PURCHASE,Web,199.21,USD,199.21,2/21/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,115,15,7,8,4
5130,11734,RUS,Limited,RENEWAL,Web,79,USD,79,10/23/19,4/23/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,3,0,0,0,0
5131,11737,FRA,Limited,INITIAL_PURCHASE,Web,49,GBP,61.74,3/20/20,6/23/20,No,Yes,On,Europe,Consumer,Web,Yes,Yes,3,0,0,0,0
5132,11738,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,12/27/18,12/27/19,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,143,13,0,10,0
5133,11739,ESP,Limited,INITIAL_PURCHASE,Web,38.58,USD,38.58,3/20/20,6/20/20,No,No,On,Other,Other,Unknown,No,No,7,0,0,0,0
5134,11740,ITA,Limited,RENEWAL,Web,119,USD,119,2/19/19,2/19/20,No,No,On,US/Canada,Consumer,Web,No,Yes,1,0,0,0,0
5135,11742,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,2/23/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,28,20,6,6,3
5136,11743,EBR,Limited,INITIAL_PURCHASE,Web,49.5,EUR,51.975,2/26/20,5/26/20,Yes,No,Off,Europe,Consumer,Web,No,Yes,2,2,0,1,0
5137,11750,ENG,Limited,RENEWAL,Web,35.97,USD,35.97,9/8/19,6/8/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0
5138,11752,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/5/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,156,29,14,15,3
5139,11761,FRA,Lifetime,INITIAL_PURCHASE,Web,0,GBP,0,5/19/19,1/1/99,No,No,Off,Europe,Consumer,Web,Yes,Yes,2,1,0,1,0
5140,11763,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,3/1/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,27,19,1,5,1
5141,11764,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/29/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,7,6,0,1,0
5142,11769,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/24/18,5/24/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,66,0,0,0,0
5143,11772,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,2/23/20,6/1/20,No,No,On,US/Canada,Consumer,Web,No,Yes,25,11,9,2,1
5144,11773,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,3/16/20,6/16/20,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,29,27,27,2,2
5145,11776,FRA,Limited,INITIAL_PURCHASE,Web,65.94,USD,65.94,10/21/19,5/7/20,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,3,1,0,1,0
5146,11781,FAR,Limited,INITIAL_PURCHASE,Web,65.94,USD,65.94,7/21/19,1/25/20,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,37,0,0,0,0
5147,11784,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,2/29/20,1/1/99,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0
5148,11785,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,2/21/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,11,0,0,0,0
5149,11786,ESP,Lifetime,INITIAL_PURCHASE,Web,179,USD,179,1/15/20,1/1/99,No,No,Off,US/Canada,Other,Web,Yes,Yes,1,1,0,1,0
5150,11787,ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,212.13,3/10/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,24,11,6,5,2
5151,11788,ESC,Limited,RENEWAL,Web,40.83,EUR,42.8715,8/27/19,5/28/20,Yes,No,On,Europe,Consumer,Web,No,Yes,1,1,0,1,0
5152,11789,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,12/19/18,12/19/19,No,No,On,US/Canada,Consumer,Web,Yes,Yes,3,1,0,1,0
5153,11792,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,2/26/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,86,27,8,18,3
5154,11793,FRA,Limited,RENEWAL,Web,40.83,GBP,51.4458,7/9/19,4/9/20,Yes,No,Off,Europe,Consumer,Web,No,Yes,34,34,0,3,0
5155,11794,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,2/13/19,5/13/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,41,0,0,0,0
5156,11795,FRA,Limited,INITIAL_PURCHASE,Web,0,USD,0,5/24/19,8/24/19,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,68,0,0,0,0
5157,11796,KOR,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/2/18,11/2/19,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,103,2,0,2,0
5158,11798,ESP,Limited,INITIAL_PURCHASE,Web,41.73,USD,41.73,8/7/19,2/10/20,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,51,0,0,0,0
5159,11801,ESC,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,2/27/20,5/27/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,8,4,0,2,0
5160,11803,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,5/23/19,8/23/19,Yes,No,Off,US/Canada,Consumer,Web,No,Yes,70,1,1,1,1
5161,11804,ESP,Limited,RENEWAL,Web,35.97,USD,35.97,11/29/19,5/29/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,11,8,0,3,0
5162,11808,ARA,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/21/18,5/21/19,Yes,No,Off,Other,Consumer,App,Yes,Yes,144,1,0,1,0
5163,11809,ENG,Limited,RENEWAL,Web,35.97,USD,35.97,1/10/20,7/10/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,18,0,0,0,0
5164,11813,FRA,Limited,INITIAL_PURCHASE,Web,53.4,GBP,67.284,3/28/20,10/2/20,No,Yes,On,Europe,Consumer,Web,No,Yes,5,0,0,0,0
5165,11816,POR,Limited,INITIAL_PURCHASE,Web,0,USD,0,5/23/19,11/23/19,No,No,Off,Other,Other,Unknown,No,No,86,61,0,29,0
5166,11817,ITA,Limited,RENEWAL,Web,79,USD,79,3/16/19,12/16/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,159,2,0,2,0
5167,11821,ALL,Lifetime,INITIAL_PURCHASE,Web,299,USD,299,2/21/20,1/1/99,No,No,Off,Other,Consumer,Web,No,Yes,4,0,0,0,0
5168,11822,ESC,Limited,INITIAL_PURCHASE,Web,8.72,EUR,9.156,10/13/18,10/13/20,No,No,On,Europe,Consumer,Web,Yes,Yes,42,11,0,4,0
5169,11825,CHI,Limited,RENEWAL,Web,119,USD,119,4/13/19,10/13/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,1,0,1,0
5170,11827,NED,Limited,RENEWAL,Web,119,USD,119,6/29/19,7/3/20,No,No,Off,Other,Other,Unknown,No,No,5,5,0,1,0
5171,11828,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,39,12/11/19,4/4/20,No,Yes,On,US/Canada,Consumer,App,Yes,Yes,12,0,0,0,0
5172,11830,ESC,Limited,RENEWAL,Web,40.83,GBP,51.4458,1/10/20,7/10/20,No,Yes,On,Europe,Consumer,Web,Yes,Yes,26,22,14,5,3
5173,11832,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/23/18,2/23/20,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,10,0,0,0,0
5174,11833,ESP,Limited,RENEWAL,Web,119,USD,119,5/7/19,5/7/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0
5175,11834,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/30/20,1/1/99,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0
5176,11836,ESP,Limited,RENEWAL,Web,35.97,USD,35.97,3/7/19,6/7/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,4,1,0,1,0
5177,11838,DEU,Limited,RENEWAL,App,49.99,USD,49.99,12/20/19,6/20/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0
5178,11839,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,12/28/18,12/28/19,No,No,Off,US/Canada,Consumer,Web,No,Yes,5,1,1,1,1
5179,11840,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/18/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,114,71,2,61,2
5180,11843,EBR,Limited,INITIAL_PURCHASE,Web,42,EUR,44.1,1/3/20,4/3/20,Yes,No,Off,Europe,Consumer,App,No,Yes,8,8,0,3,0
5181,11844,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,2/26/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,12,0,0,0,0
5182,11845,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/18/18,11/18/19,No,No,Off,US/Canada,Consumer,Web,No,Yes,143,6,0,6,0
5183,11846,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,95.88,3/26/20,3/26/21,No,Yes,On,Europe,Consumer,Web,No,Yes,192,25,3,14,1
5184,11847,ALL,Lifetime,INITIAL_PURCHASE,Web,200.91,USD,200.91,3/5/20,1/1/99,No,No,Off,US/Canada,Other,Web,Yes,Yes,70,21,16,7,3
5185,11848,KOR,Lifetime,INITIAL_PURCHASE,Web,0,USD,0,5/6/19,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0
5186,11849,ALL,Lifetime,INITIAL_PURCHASE,Web,211.44,USD,211.44,3/28/20,1/1/99,No,No,Off,Other,Other,Unknown,No,No,5,5,0,1,0
